artist_name,track_name,release_date,genre,lyrics
the devil and the almighty blues,the ghost of charlie barracuda,2015,blues,hide smell hide song hide gift ghost dragons heed season heed snow heed freeze ghost dragons mind tradition mind mind celebration ghost dragons look away window look away cold look mirror ghost dragons look away look away look mirror ghost dragons
the almighty defenders,all my loving,2009,blues,sweep heavens extinction grade event carve angels fear tread hail shine like blood diamonds sing like break glass drag street turn name hail like quiet lightning typhoon illest omen crow impend doom hail whisper unnerve truth saner mind depart rise like saviour burn hail bring devastate head forever curse fate hail spirit unhinge force avalanche untamed bear relentlessly dare remain hail hail unnatural disaster hail kaleidoscopic gloom hail karmic equalizer hail cemetery bloom
clarence carter,slippin' around,1968,blues,baby make feel good things baby dream check cause belong leave leave beg cry wreck bone body lord tear mind sink deep leave leave know slip dangerous thing take chance good luck piece hand hop catch catch redhanded effect leave shake go set clothe baby leave body warm know wrong leave leave lord leave friends tell leave leave
the subdudes,straight shot,1991,blues,corner cagei need momma gaveback tender agewhen daddy babe feel fineother time relax mindstraight shoot cryin mommapure lovestraight shotstraight shoot cryin mommapure lovestraight shoot somethin close towhat think mother doshe read mind knewshe feel fineother time relax mindstraight shoot cryin mommapure lovestraight shotstraight shoot cryin mommapure lovestraight shoot
ty segall,black magick,2017,blues,candle like goodbye goodbye picture rain aren matter cause understand need honesty black magic save black magic save kings queen black magic save save magic deep inside speak lie picture name matter matter cause understand tell cause need black magic save black magic save kings queen black magic save save black magic save black magic save black magic black magic black magic
bonnie raitt,my first night alone without you,1975,blues,ache head little hours dark dread spend night half go away learn cling tomorrow live rest life teach live give give lose thing teach change reach life tonight live sit learn read cause school like little things gonna need life baby
warren haynes,man in motion,2011,blues,life overrate burnout factor game life adventure cry shame people gather round gonna go move expect burn pass proceed caution motion hard motion begin time dream small days peace mind folks home wouldn understand move band band someday gonna stop move finish line expect burn pass proceed caution motion life race game thrill second live ride expect expect burn pass proceed caution proceed caution proceed caution motion
ella fitzgerald,we'll be together again,1957,blues,tear fear remember tomorrow kiss smile memories treasure forever think heart time know lonesome time know temptation surround blue someday someway lifetime part goodbye temptation surround blue someday someway lifetime part goodbye
etta james,anything to say you're mine,1960,blues,blue cause worry wonder hear promise write hear go away window pane hop letter come heart cry little line say prayer night hop hop pray someday someday write heart cry little line
tedeschi trucks band,misunderstood,2013,blues,things aren go forth hell tire race idly track reason come patiently wait tear away misunderstand hear good dark things fall apart like dare like pain felt cuff bleed free patiently wait tear away misunderstand hear good dark things fall apart rain fell things say outside think sleep long leave hear sound silence march band go leave misunderstand hear good dark things fall apart misunderstand hear good dark things fall apart misunderstand cause give good dark fall apart misunderstand misunderstand misunderstand misunderstand misunderstand
tommy bolin,bustin' out for rosey,1976,blues,bustin rosey cause tell yeah fell crisp toastee soul jumpin trouble fear life havin near struttin pretty sassin slippin slidin rosey waitin daddy standin rain hear comin hear comin door unlock runnin catch runnin sweet soul free gettin closer gettin closer hear footsteps door gettin closer gettin closer know comin sweet soul free sweet soul free
jefferson airplane,turn my life down,2004,blues,time round sorrow know go yesterdays melt tomorrow present leave point view time round look eye decide borrow moments moments live wishful think leave place hide place hide place hide shadow softly come take place turn life leave mourn
